,subject,age,gender,word,word_nr,time,category
0,K,20,m,apple,1,2.208944932091981,foods
1,K,20,m,carrot,2,2.0242275749333203,foods
2,K,20,m,lettuce,3,3.145842782687396,foods
3,K,20,m,tomato,4,1.8111300161108375,foods
4,K,20,m,banana,5,2.8670370569452643,foods
5,K,20,m,pomegrante,6,2.4108132673427463,foods
6,K,20,m,blueberry,7,3.099057267885655,foods
7,K,20,m,orange,8,1.5944954003207386,foods
8,K,20,m,grapefruit,9,3.6909277108497918,foods
9,K,20,m,chicken,10,2.8269460746087134,foods
10,K,20,m,bread,11,2.0908042923547328,foods
11,K,20,m,butter,12,3.034622946754098,foods
12,K,20,m,eggplant,13,4.69628676911816,foods
13,K,20,m,cucumber,14,2.211808674968779,foods
14,K,20,m,zuchinni,15,4.074410913977772,foods
15,K,20,m,potato,16,2.058234142139554,foods
16,K,20,m,pancake,17,2.1631595687940717,foods
17,K,20,m,sirup,18,2.0029721981845796,foods
18,K,20,m,oatmeal,19,2.394983131904155,foods
19,K,20,m,eggs,20,2.9309074035845697,foods
20,K,20,m,bacon,21,1.8746598800644279,foods
21,K,20,m,spinach,22,1.4746059468016028,foods
22,K,20,m,sweet potatoes,23,7.129668952897191,foods
23,K,20,m,honey,24,1.3869908289052546,foods
24,K,20,m,jam,25,3.378350338898599,foods
25,K,20,m,biscuit,26,7.762458418961614,foods
26,K,20,m,mayo,27,4.368281403090805,foods
27,K,20,m,mustard,28,2.931137947831303,foods
28,K,20,m,ketchup,29,2.2829636172391474,foods
29,K,20,m,apple,30,9.916922200936824,foods
30,K,20,m,peanutbutter,31,3.7866606200113893,foods
31,K,20,m,turkey,32,15.531690428033471,foods
32,K,20,m,ham,33,0.9388632350601256,foods
